# z	    DA	         delta-DA
0.005	0.030042553	0.002978723
0.015	0.014042553	0.001446809
0.025	0.012340426	0.001404255
0.035	0.008765957	0.001276596
0.045	0.015404255	0.001148936
0.055	0.017276596	0.001702128
0.065	0.022042553	0.002468085
0.075	0.01012766	0.001531915
0.085	0.021361702	0.002042553
0.095	0.018212766	0.00187234
0.105	0.012425532	0.001404255
0.115	0.019574468	0.002042553
0.125	0.018723404	0.001914894
0.135	0.017021277	0.001744681
0.145	0.026553191	0.003021277
0.155	0.021021277	0.002170213
0.165	0.025617021	0.002468085
0.175	0.021276596	0.001574468
0.185	0.011829787	0.001787234
0.195	0.02706383	0.002042553
0.205	0.021106383	0.002170213
0.215	0.018553191	0.001829787
0.225	0.021787234	0.002808511
0.235	0.013957447	0.001404255
0.245	0.021106383	0.00187234
0.255	0.029191489	0.00493617
0.265	0.015829787	0.002382979
0.275	0.015319149	0.001957447
0.285	0.023744681	0.003319149
0.295	0.029021277	0.003957447
0.305	0.027319149	0.00612766
0.315	0.029021277	0.004553191
0.325	0.032170213	0.007148936
0.335	0.023319149	0.003319149
0.345	0.029191489	0.003659574
0.355	0.020085106	0.005276596
0.365	0.030723404	0.00387234
0.375	0.045531915	0.007021277
0.385	0.033361702	0.005659574
0.395	0.023744681	0.003914894
0.405	0.060765957	0.007404255
0.415	0.024085106	0.006510638
0.425	0.044765957	0.006978723
0.435	0.050042553	0.00812766
0.445	0.020255319	0.005191489
0.455	0.018468085	0.004212766
