# Name Type  Distance  Ks  M_Ks  M_V  V-K  B-V  Mbulge eMbulge  MBH/1e6 MBHlo MBHhi  sig esig
M32 E2 0.805 7 5.10  -19.45 -16.64 2.816 0.895 9.05  0.10 2.45 1.43 3.46  77  3 1 0 1 van den Bosch+2010
NGC1316 E4 20.95 1 5.32  -26.29 -23.38 2.910 0.871 11.84  0.09 169 139 197  226  9 1 0 0 Nowak + 2008
NGC1332 E6 22.66 2 7.05  -24.73 -21.58 3.159 0.931 11.27  0.09 1470 1270 1680  328  9 1 0 0 Rusli + 2011
NGC1374 E0 19.57 1 8.16  -23.30 -20.43 2.874 0.908 10.65  0.09 590 539 651  167  03 1 0 1 Rusli+2013
NGC1399 E1 20.85 1 6.31  -25.29 -22.43 2.863 0.948 11.50  0.09 881 435 1781  315  03 1 1 0 see notes
NGC1407 E0 29.00 2 6.46  -25.87 -22.89 2.980 0.969 11.74  0.09 4650 4240 5380  276  2 1 1 1 Rusli+2013
NGC1550 E1 52.50 9 8.77  -24.87 -21.89 2.974 0.963 11.33  0.09 3870 3160 4480  270  10 1 1 1 Rusli+2013
NGC2778 E2 23.44 2 9.51  -22.34 -19.39 2.955 0.911 10.26  0.09 14.5 0.01 29.1  175  8 1 0 1 Schulze + 2011
NGC2960 E2 67.1 9 9.78  -24.36 -21.30 3.068 0.880 11.06  0.09 10.8 10.3 11.2  166  16 3 0 0 Kuo + 2011
NGC3091 E3 53.02 9 8.09  -25.54 -22.56 2.980 0.962 11.61  0.09 3720 3210 3830  297  12 1 1 1 Rusli+2013
NGC3377 E5 10.99 2 7.16  -23.06 -20.08 2.980 0.830 10.50  0.09 178 085 272  145  7 1 0 1 Schulze + 2011
NGC3379 E1 10.70 2 6.27  -23.88 -21.01 2.867 0.939 10.91  0.09 416 312 520  206  10 1 1 1 van den Bosch+2010
NGC3607 E1 22.65 2 6.99  -24.79 -21.92 2.872 0.911 11.26  0.09 137 90 182  229  11 1 1 0 G¨ultekin + 2009b
NGC3608 E1 22.75 2 7.62  -24.17 -21.19 2.980 0.921 11.01  0.09 465 366 564  182  9 1 1 1 Schulze + 2011
NGC3842 E1 92.2 9 8.84  -25.99 -23.01 2.980 0.941 11.77  0.09 9090 6280 11430  270  27 1 1 1 McConnell + 2012
NGC4261 E2 32.36 2 6.94  -25.62 -22.64 2.980 0.974 11.65  0.09 529 421 636  315  15 2 1 0 Ferrarese + 1996
NGC4291 E2 26.58 2 8.42  -23.72 -20.76 2.954 0.927 10.85  0.09 978 670 1286  242  12 1 1 1 Schulze + 2011
NGC4374 E1 18.51 1 5.75  -25.60 -22.62 2.980 0.945 11.62  0.09 925 838 1023  296  14 2 1 0 Walsh + 2010
NGC4382 E2 17.88 1 5.76  -25.51 -22.53 2.980 0.863 11.51  0.09 13.0 0.01 224   182  5 1 1 0 G¨ultekin + 2011
NGC4459 E2 16.01 1 7.15  -23.88 -20.91 2.975 0.909 10.88  0.09 69.6 56.2 82.9  167  8 2 0 0 Sarzi + 2001
NGC4472 E2 16.72 1 4.97  -26.16 -23.18 2.980 0.940 11.84  0.09 2540 2440 3120  300  7 1 1 1 Rusli + 2013
NGC4473 E5 15.25 1 7.16  -23.77 -20.89 2.874 0.935 10.85  0.09 9.0 4.5 13.5  190  9 1 0 1 Schulze + 2011
