# log10[M500,Xray]   fgas(<r500)
       13.520652      0.10330206
       13.703967     0.091587393
       13.609289     0.072417939
       13.188487     0.052183515
       13.703967     0.073482909
       13.740859     0.063898181
       13.947133     0.080937696
       14.031062     0.086262545
       13.319255      0.11501673
       13.915852     0.090522424
       13.766413     0.059638303
       14.128815     0.080937696
       13.921315     0.079872727
       14.167444      0.12140654
       13.526081     0.078807757
       14.191411     0.093717333
       14.145330      0.10010715
       13.857074      0.10010715
       13.970048     0.083067636
       13.962707      0.10543200
       13.937303     0.069223030
       14.004997     0.095847272
       13.915852     0.099042181
       14.513294     0.086582436
       14.497956      0.12935207
       14.897596      0.12517943
       14.671199      0.12935207
       14.891330      0.11161832
       14.792552      0.10848884
       14.102140      0.10640251
       14.915867      0.12830891
       15.043239      0.14708583
       13.898725     0.064676037
       14.374037     0.094837010
       14.587011      0.11609808
       14.632764      0.10829394
       14.187813      0.10086369
       14.648780      0.11469926
       13.904842     0.097222000
       14.103519     0.074318519
       13.992112     0.084435572
       14.696807      0.12233073
       14.541640      0.12235048
       14.424627      0.10738284
       14.829179      0.14068140
       14.145053     0.088620345
       14.721640      0.10607123
       14.304676      0.12569032
       14.301602      0.10955127
       14.116095     0.091139847
       14.287695     0.095868296
       14.936377      0.13347248
       14.477821      0.11420646
       14.342590      0.11652043
       14.653750      0.13662880
       14.118208     0.085081148
       14.554854      0.13050440
       14.378686     0.099853258
       14.293354      0.11121327
       14.128802     0.087366276
       14.498906      0.12354122
       14.710636      0.11854886
       14.835266      0.13834899
       14.052298      0.11276114
       14.579260      0.12182611
       14.820460      0.10940593
       14.757960      0.12383416
       14.912361      0.11543569
       14.519160      0.11996121
       14.900860      0.14843645
       14.508160      0.12452051
       14.897260      0.13068953
       14.942461      0.14185364
       14.821460      0.13244637
       14.741360      0.13923261
       14.995961      0.14552590
       14.757560      0.12400532
       14.943261      0.13587511
       15.308060      0.15550356
       14.910560      0.12812697
       15.050561      0.13540659
       14.903560      0.11755478
       14.864760      0.11677265
       14.838160      0.14535855
       14.717560      0.12800886
       14.885460      0.12706925
       14.638461      0.12247281
       14.734561      0.12137804
       14.929161      0.12497991
       14.753060      0.12179829
       14.717960      0.10943116
       14.629160      0.10996134
       14.583460      0.10830303
       14.657361      0.13459845
       14.594261      0.12654352
       14.116960      0.10440972
       14.673160      0.12636913
       14.714460      0.11968519
       14.656360      0.12216312
       14.463960      0.10385817
       14.587060      0.11400932
       14.472360      0.12188230
       14.598860      0.11639658
       14.603160      0.12952102
       14.422360      0.10790469
       14.276761     0.091693739
       14.327860      0.10084177
       14.426660      0.10323833
       14.351861      0.10271643
       14.458560      0.10510905
       14.389061      0.10250395
       14.453761      0.10963272
       14.430160      0.12165796
       14.495061      0.11393049
       14.329760      0.10123737
       14.225660      0.10070258
       14.351560      0.10935549
       14.299861      0.11543568
       14.376260      0.13321117
       14.271861      0.10302432
       14.061961     0.090373212
       14.203260      0.10968328
       14.245560      0.10381029
       14.177360      0.11530293
       14.164960     0.094393175
       14.209760     0.099779405
       13.972761     0.089235950
       13.887160     0.079917274
       14.829762      0.13008475
       14.885024      0.14112523
       14.605498      0.14236863
       14.508114      0.12632251
       14.725112      0.13539941
       14.463505      0.11797475
       14.891769      0.14254268
       14.720515      0.11875995
       14.942309      0.14584163
       14.607152      0.13021420
       14.839040      0.13168125
       14.666680      0.11719759
       14.686147      0.10897037
       14.418504      0.11826537
       14.413083      0.10623053
       14.815674      0.12153280
       14.758485      0.10829448
       14.715515      0.13611458
       14.942766      0.12846121
       14.912836      0.14019339
       14.937302      0.12350239
       14.470966      0.12137479
       14.928692      0.12845022
       14.760446      0.11943809
       14.740216      0.11931308
       14.769574      0.12647340
       14.221421      0.13152937
       15.350343      0.14483441
       14.928740      0.13550578
       14.777768      0.12978108
       14.636253      0.12223710
       14.804238      0.11708483
       14.903396      0.13927673
       14.872153      0.11597407
       14.794294      0.12878938
       14.710164      0.12513275
       13.917592     0.072536930
       13.315970     0.081642512
       13.669317     0.075588865
       13.378398     0.084100418
       13.346353     0.077027027
       13.469822     0.045762712
       13.451786     0.096113074
       13.519828     0.051661631
       13.547775     0.076770538
       13.542825     0.087679083
       13.525045     0.073731343
       14.158362     0.079861111
       13.369216     0.072222222
       13.679428     0.079288703
       13.933993     0.073806752
       13.978181     0.095268139
       13.842609     0.076724138
       14.033424     0.060185185
       13.640481     0.044393593
       13.903090     0.078375000
       14.082785     0.067520661
       13.740622     0.030708905
       13.585191     0.091745284
       13.543908     0.057449735
       13.642333     0.038963941
       13.420254     0.051295540
       13.251210      0.15253114
       13.267517     0.092358972
       13.789293     0.044022700
       12.694738      0.61799260
       13.408673     0.096388240
       13.414476      0.44281410
       13.487660     0.054982817
       13.145282      0.27124210
       13.907535     0.078443017
       13.451582      0.32029220
