# StellarMass HIMass H2Mass SFR StellarSurfaceDensity MolecularSurfaceDensity MolecularMetallicity
# Msun Msun Msun Msun/yr Msun/kpc^2 Msun/kpc^2 Zsun (h=0.6774, Zsun=0.0134, HI/H2=GD14)
7.1062e+11 8.8397e+10 1.5949e+11 1.9494e+02 8.5231e+07 1.6255e+07 7.5828e-01
1.9182e+11 4.1803e+10 3.3931e+10 3.0827e+01 3.5716e+08 1.2205e+06 8.5618e-01
1.5495e+11 6.0850e+09 3.5447e+09 1.3693e+00 6.8453e+08 4.7811e+06 1.4551e+00
3.0834e+11 1.7995e+10 3.0374e+10 2.9403e+01 5.4038e+08 2.6387e+06 8.4148e-01
1.1686e+11 2.1576e+10 1.8112e+10 2.3592e+01 3.9767e+08 2.1459e+07 1.0048e+00
1.7859e+11 9.3488e+09 7.5011e+09 5.4896e+00 9.7071e+08 6.4887e+05 7.4773e-01
1.2318e+11 6.6312e+09 1.2695e+10 1.6867e+01 7.2229e+08 1.4601e+07 8.6625e-01
2.3482e+11 8.0318e+07 1.9078e+08 2.2637e-01 1.1047e+10 2.6542e+05 7.9888e-01
5.6917e+10 6.7994e+09 5.3940e+09 6.2050e+00 1.7280e+09 7.6095e+06 6.5754e-01
3.8672e+10 2.9898e+09 6.9817e+09 1.1080e+01 1.2790e+09 5.8049e+07 1.6269e+00
4.6191e+10 3.4985e+09 9.4530e+09 1.7341e+01 8.6901e+08 1.0479e+08 1.9372e+00
9.2250e+10 9.2246e+07 2.8108e+08 1.7348e-01 1.1744e+09 4.9325e+05 1.9062e+00
8.1635e+10 2.8682e+09 1.0532e+10 1.7833e+01 1.6000e+09 5.6040e+07 1.4338e+00
4.6676e+10 4.1826e+09 3.3302e+09 2.0048e+00 1.6990e+09 7.8791e+06 9.4328e-01
4.1573e+10 5.7773e+09 1.1952e+10 2.5540e+01 1.6923e+09 7.4982e+07 1.3598e+00
6.4208e+10 3.3150e+09 2.3119e+09 2.1066e+00 7.9981e+09 1.0056e+06 6.4195e-01
4.1446e+10 5.6985e+09 8.6148e+09 1.4430e+01 1.1640e+09 9.5050e+07 1.9171e+00
5.3226e+10 0.0000e+00 0.0000e+00 0.0000e+00 1.8433e+09 nan nan
5.6810e+10 1.8011e+09 8.9006e+09 1.7418e+01 1.3230e+09 1.4264e+08 2.6490e+00
1.6748e+10 8.1833e+09 5.8184e+09 8.1038e+00 6.2219e+08 6.3959e+07 9.7381e-01
6.0915e+10 9.4008e+08 2.6476e+09 3.6758e+00 2.3534e+09 3.2863e+07 1.1335e+00
3.8708e+10 2.3973e+08 1.9179e+09 3.6604e+00 3.2732e+09 2.0434e+08 3.2009e+00
5.9550e+10 0.0000e+00 0.0000e+00 0.0000e+00 6.3187e+09 nan nan
5.0914e+10 5.2537e+07 1.0880e+08 2.1083e-02 2.7054e+09 9.3446e+05 1.7028e+00
4.1692e+10 2.0161e+09 8.8033e+09 1.2191e+01 1.1857e+09 6.7134e+07 2.0579e+00
4.7687e+10 5.8813e+07 1.2669e+08 4.3804e-02 4.7104e+09 6.9885e+04 1.7015e+00
2.9972e+10 5.9300e+08 2.0116e+09 2.4437e+00 2.8577e+08 3.5457e+07 2.9276e+00
7.9181e+09 2.6777e+09 2.3827e+09 3.0043e+00 7.3932e+07 3.8117e+07 1.2936e+00
3.3006e+10 6.3948e+08 3.1721e+09 3.3250e+00 1.2463e+09 8.1648e+07 2.7252e+00
4.8310e+10 1.3660e+06 1.1746e+06 8.8178e-04 5.6463e+09 2.4877e+03 8.8668e-01
2.8449e+10 1.9299e+09 1.7525e+09 1.1958e+00 2.6592e+09 1.6722e+06 8.7569e-01
8.2529e+09 2.1453e+09 3.5798e+09 7.8117e+00 2.1220e+08 2.6387e+08 1.2748e+00
2.6603e+10 0.0000e+00 0.0000e+00 0.0000e+00 3.8320e+09 nan nan
1.5291e+10 2.9141e+09 4.4443e+09 6.1712e+00 5.5011e+08 5.7809e+07 1.2040e+00
4.0616e+10 2.3324e+07 1.6358e+07 5.8581e-03 7.7435e+09 1.5094e+05 1.0620e+00
1.3032e+10 3.9051e+09 7.9114e+09 1.4603e+01 1.7876e+08 9.2636e+07 9.8128e-01
2.5499e+10 7.9573e+08 3.6841e+09 4.6999e+00 7.5254e+08 6.2376e+07 2.6482e+00
1.2820e+10 2.6888e+09 5.3121e+09 7.6825e+00 1.1888e+08 1.9919e+07 1.0715e+00
3.4434e+09 5.0195e+08 5.2153e+08 4.8546e-01 5.0140e+07 2.4440e+06 1.1709e+00
1.7372e+09 7.8403e+08 5.9854e+08 6.0289e-01 7.2690e+07 3.5018e+07 8.5018e-01
1.1744e+10 3.5775e+08 1.1482e+09 1.4064e+00 6.4031e+08 6.7729e+07 2.1011e+00
8.0818e+09 7.5345e+08 1.3385e+09 2.1252e+00 5.7903e+08 6.8388e+07 1.5501e+00
4.1293e+09 4.0689e+08 6.9921e+08 6.7963e-01 8.3548e+07 3.4500e+07 1.7043e+00
7.9069e+09 8.2940e+08 5.2850e+08 7.6833e-01 3.8449e+08 7.5259e+07 1.9766e+00
9.5731e+09 7.9225e+07 3.3249e+08 4.4605e-01 1.2377e+08 3.6354e+07 2.1322e+00
1.4352e+10 0.0000e+00 0.0000e+00 0.0000e+00 1.0056e+09 nan nan
6.5959e+09 0.0000e+00 0.0000e+00 0.0000e+00 1.4353e+08 nan nan
1.4482e+10 0.0000e+00 0.0000e+00 0.0000e+00 6.2769e+08 nan nan
1.3601e+10 0.0000e+00 0.0000e+00 0.0000e+00 1.1047e+09 nan nan
1.5218e+10 0.0000e+00 0.0000e+00 0.0000e+00 1.8518e+09 nan nan
7.1620e+09 3.2961e+08 6.6403e+08 7.7510e-01 2.8819e+08 6.0519e+04 1.1867e+00
