# z logSFR sighi siglo
0.05 -1.82 0.09  0.02 
0.3 -1.50  0.05 -0.05
0.5 -1.39  0.15 -0.08
0.7 -1.20  0.31 -0.13
1.0 -1.25  0.31 -0.13
0.05 -1.77  0.08 -0.09
0.12 -1.75  0.18 -0.18
0.3 -1.55  0.12 -0.12
0.5 -1.44  0.10 -0.10
0.7 -1.24  0.10 -0.10
0.9 -0.99  0.09 -0.08
1.1 -0.94  0.09 -0.09
1.45 -0.95  0.15 -0.08
2.1 -0.75  0.49 -0.09
3.0 -1.04  0.26 -0.15
4.0 -1.69  0.22 -0.32
1.13 -1.02  0.08 -0.08 
1.75 -0.75  0.12 -0.12
2.23 -0.87  0.09 -0.09
2.3 -0.75  0.09 -0.11 
3.05 -0.97  0.11 -0.15
3.8 -1.29  0.05 -0.05
4.9 -1.42  0.06 -0.06
5.9 -1.65  0.08 -0.08
7.0 -1.79  0.10 -0.10
7.9 -2.09  0.11 -0.11
7.0 -2.00  0.10 -0.11 
8.0 -2.21  0.14 -0.14
0.03   -1.72  0.02 -0.03 
0.03   -1.95  0.20 -0.20 
0.55   -1.34  0.22 -0.11 
0.85   -0.96  0.15 -0.19
1.15   -0.89  0.27 -0.21
1.45   -0.91  0.17 -0.21
2.05   -0.89  0.21 -0.25
0.55   -1.22  0.08 -0.11 
0.85   -1.10  0.10 -0.13
1.15   -0.96  0.13 -0.20
1.45   -0.94  0.13 -0.18
2.05   -0.80  0.18 -0.15
0.15   -1.64  0.09 -0.11 
0.37   -1.42  0.03 -0.04
0.52   -1.32  0.05 -0.05
0.70   -1.14  0.06 -0.06
0.90   -0.94  0.05 -0.06
1.10   -0.81  0.04 -0.05
1.45   -0.84  0.04 -0.04
1.85   -0.86  0.02 -0.03
2.25   -0.91  0.09 -0.12
2.75   -0.86  0.15 -0.23
3.60   -1.36  0.23 -0.50
