# 0.5 < z < 1.0 
0.5 8.7 -0.38   0.11 8.83   0.09 9.15   0.01 -0.37   0.11 8.75   0.11 9.18   0.01 -1.74
0.5 8.9 -0.20   0.05 9.09   0.05 9.32   0.01 -0.19   0.05 9.05   0.05 9.34   0.01 -1.73
0.5 9.1 0.05   0.03 9.59   0.03 9.47   0.01 0.09   0.03 9.64   0.02 9.49   0.01 -1.67
0.5 9.3 0.23   0.02 9.85   0.02 9.59   0.01 0.27   0.02 9.92   0.01 9.61   0.01 -1.49
0.5 9.5 0.45   0.02 10.17   0.01 9.70   0.01 0.53   0.02 10.28   0.01 9.73   0.01 -1.32
0.5 9.7 0.65   0.02 10.45   0.02 9.76   0.01 0.75   0.02 10.57   0.01 9.81   0.01 -1.08
0.5 9.9 0.78   0.03 10.63   0.02 9.75   0.02 0.88   0.03 10.75   0.01 9.81   0.02 -0.84
0.5 10.1 0.99   0.07 10.89   0.02 9.72   0.07 1.11   0.07 11.01   0.01 9.82   0.05 -0.55
0.5 10.3 1.06   0.05 10.96   0.02 9.75   0.02 1.18   0.05 11.09   0.01 9.83   0.01 -0.42
0.5 10.5 1.09   0.07 11.01   0.02 9.65   0.03 1.21   0.07 11.13   0.01 9.75   0.03 -0.27
0.5 10.7 1.22   0.07 11.13   0.02 9.86   0.01 1.36   0.07 11.28   0.01 9.91   0.01 -0.37
0.5 10.9 1.21   0.08 11.13   0.02 9.79   0.02 1.34   0.08 11.27   0.01 9.87   0.02 -0.27
0.5 11.1 1.27   0.10 11.19   0.03 9.92   0.03 1.40   0.10 11.32   0.02 9.97   0.02 -0.42
# 1.0 < z < 1.5 
1.0 9.1 0.17   0.08 9.59   0.08 9.64   0.01 0.19   0.08 9.58   0.08 9.67   0.01 -1.76
1.0 9.3 0.38   0.05 9.96   0.04 9.77   0.01 0.37   0.05 9.87   0.05 9.80   0.01 -1.70
1.0 9.5 0.64   0.02 10.36   0.02 9.89   0.01 0.68   0.02 10.41   0.02 9.91   0.01 -1.55
1.0 9.7 0.81   0.02 10.60   0.02 9.95   0.01 0.85   0.02 10.64   0.01 9.98   0.01 -1.38
1.0 9.9 1.02   0.03 10.88   0.02 9.96   0.03 1.12   0.03 10.99   0.01 10.02   0.02 -1.17
