name,exth,modelg_r,extj,extk,e_uhmag,exti,ukmag,extg,2kmag,nuvmag,extz,dedeg,e_zmag,e_ukmag,e_uymag,extu,radeg,extr,e_2kmag,2jmag,r50,gmag,uymag,rmag,modelg_i,modelg_j,dgr,2hmag,imag,b_a,extnuv,r90,e_2hmag,e_imag,modelu_j,modelu_k,modelu_i,modelu_r,logmstar,e_uvm2mag,grpcz,uvm2mag,e_rmag,absrmag,modelg_k,zmag,extuvm2,exty,e_umag,cz,e_nuvmag,e_2jmag,e_gmag,uhmag,umag,fl_insample,ef21corr_rand,f21corr,f21,limflagmhi,confused,deconf_mode,ef21corr_sys,hitelescope,rms_hi,e_f21,dens_corr_b,f_s16sample_s,dens_corr_s,groupmass_b,groupid_b,dist_b,dens_b,f_dist_s,dist_s,f_s16sample_b,groupid_s,groupmass_s,dens_s,f_dist_b
rf0001,0.021,0.263,0.033,0.013,0.266,0.075,15.377,0.137,-99.0,19.327,0.054,-1.1129,0.116,0.372,0.188,0.186,0.0134,0.099,-99.0,15.842,3.32,17.69,16.477,17.32,0.423,1.547,-0.022,-99.0,17.152,0.81,0.332,6.89,-99.0,0.023,2.449,3.248,1.325,1.165,8.51,-99.0,6683.8,-99.0,0.042,-17.679,2.346,17.054,0.34,0.043,0.041,6683.8,0.062,0.24,0.028,15.47,18.638,1,0.0,0.0,0.22,0,0,0,0.0,GBT,0.44,0.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0002,0.018,0.694,0.028,0.011,-99.0,0.064,13.461,0.117,12.718,20.986,0.046,0.8486,0.023,0.348,0.173,0.159,1.1467,0.085,0.438,14.526,3.11,17.084,14.918,16.33,1.028,2.343,-0.025,14.27,15.942,0.6,0.282,9.78,0.294,0.021,3.818,4.736,2.503,2.169,9.57,-99.0,6583.8,-99.0,0.021,-18.621,3.261,15.666,0.29,0.037,0.032,6583.8,0.179,0.086,0.021,-99.0,18.62,1,0.0,0.0,0.06,1,0,0,0.0,AO,0.5,0.0,11.19,1,11.21,11.18,20002.0,6.91,10.95,1,6.76,1,10002.0,11.37,10.96,1
rf0003,0.015,0.564,0.023,0.009,0.074,0.053,14.495,0.097,14.353,20.143,0.038,0.8126,0.03,0.104,0.153,0.132,2.3154,0.07,0.09,15.332,1.73,17.721,15.795,17.073,0.862,2.185,0.105,14.718,16.776,0.94,0.234,4.04,0.109,0.021,3.352,4.266,2.029,1.731,8.99,-99.0,5962.9,-99.0,0.023,-17.649,3.1,16.513,0.241,0.031,0.031,5962.9,0.046,0.111,0.021,14.69,18.888,1,0.0,0.0,0.38,0,0,0,0.0,AO,0.53,0.03,0.0,1,11.0,0.0,0.0,0.0,0.0,1,5.6,0,10003.0,11.14,10.79,0
rf0004,0.022,0.441,0.034,0.014,0.26,0.079,13.273,0.144,14.113,17.361,0.056,-1.0871,0.093,0.868,0.379,0.196,2.956,0.104,0.98,13.243,15.28,15.204,14.541,14.612,0.64,1.731,-0.011,13.093,13.802,0.95,0.348,33.3,0.145,0.028,2.82,3.531,1.729,1.53,9.67,-99.0,6365.9,-99.0,0.027,-20.286,2.442,14.267,0.358,0.046,0.027,6365.9,0.02,0.512,0.022,13.42,16.198,1,0.0,0.0,2.35,0,0,0,0.0,S05-AO,2.23,0.3,10.88,1,10.32,11.44,20243.0,13.61,10.46,1,12.86,1,10229.0,11.41,9.89,1
rf0005,0.018,0.752,0.028,0.011,-99.0,0.065,-99.0,0.118,10.544,18.961,0.046,-0.4151,0.022,-99.0,0.073,0.16,3.0254,0.086,0.058,11.477,8.21,14.208,11.987,13.404,1.104,2.504,-0.044,10.749,12.998,0.66,0.285,29.02,0.131,0.023,4.094,5.03,2.694,2.342,10.63,-99.0,5565.4,-99.0,0.02,-21.183,3.44,12.726,0.293,0.037,0.05,5565.4,0.085,0.05,0.021,-99.0,15.902,1,0.0,0.0,0.64,1,0,0,0.0,GBT,3.68,0.0,11.06,1,11.3,12.09,20003.0,0.0,10.89,0,0.0,1,10004.0,12.18,11.2,0
rf0006,0.028,0.53,0.044,0.018,0.183,0.101,14.61,0.184,14.095,20.258,0.072,-1.1082,0.036,0.646,0.421,0.25,4.1918,0.133,0.237,15.384,4.68,17.267,15.501,16.647,0.788,1.958,0.152,14.593,16.302,0.94,0.445,13.39,0.104,0.03,3.202,3.97,2.032,1.774,9.13,-99.0,5543.7,-99.0,0.023,-17.98,2.727,16.089,0.457,0.058,0.087,5543.7,0.035,0.262,0.022,14.947,18.527,1,0.0,0.0,0.03,1,0,0,0.0,AO,0.39,0.0,0.0,1,11.4,0.0,0.0,0.0,0.0,1,5.18,0,10005.0,11.86,11.17,0
rf0007,0.022,0.518,0.034,0.014,0.232,0.079,-99.0,0.143,12.228,18.001,0.056,-0.958,0.038,-99.0,0.057,0.194,4.2867,0.104,0.262,13.202,10.3,15.542,13.598,14.947,0.795,2.09,-0.021,12.686,14.634,0.61,0.345,19.42,0.167,0.029,3.278,4.168,1.982,1.706,9.79,-99.0,5680.45,-99.0,0.021,-19.752,2.981,14.423,0.354,0.045,0.027,5811.1,0.016,0.16,0.021,12.72,16.811,1,0.0,0.0,1.1,0,0,0,0.0,GBT,0.9,0.05,11.31,1,11.4,11.78,20004.0,5.7,11.1,1,5.18,1,10005.0,11.86,11.17,1
rf0008,0.022,0.569,0.034,0.014,0.051,0.079,-99.0,0.144,11.137,17.21,0.056,-0.9782,0.021,-99.0,0.026,0.196,4.3577,0.105,0.138,12.167,11.75,14.642,12.648,13.992,0.876,2.246,-0.063,11.505,13.65,0.54,0.349,23.02,0.022,0.022,3.482,4.424,2.112,1.804,10.21,-99.0,5680.45,-99.0,0.026,-20.608,3.189,13.377,0.358,0.046,0.095,5549.8,0.023,0.061,0.028,11.588,15.857,1,0.0,0.0,0.35,1,0,0,0.0,GBT,2.05,0.0,11.31,1,11.4,11.78,20004.0,5.7,11.1,1,5.18,1,10005.0,11.86,11.17,1
rf0009,0.015,0.312,0.023,0.009,0.321,0.053,-99.0,0.096,13.874,18.949,0.037,0.5062,0.036,-99.0,0.199,0.13,4.4165,0.069,0.919,15.378,5.63,17.104,15.946,16.697,0.484,1.588,0.206,14.623,16.518,0.3,0.231,15.33,0.117,0.022,2.598,3.368,1.495,1.322,8.65,-99.0,5330.5,-99.0,0.027,-17.781,2.358,16.382,0.237,0.03,0.029,5330.5,0.052,0.133,0.022,15.404,18.157,1,0.0,0.0,0.05,0,0,0,0.0,AO,0.22,0.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0010,0.016,0.207,0.025,0.01,0.21,0.058,-99.0,0.105,14.243,18.165,0.041,0.3296,0.054,-99.0,0.165,0.143,4.4761,0.076,0.246,15.604,3.99,16.939,15.809,16.642,0.339,1.417,-0.104,-99.0,16.481,0.9,0.254,8.03,-99.0,0.065,2.18,2.954,1.101,0.97,8.49,-99.0,5498.7,-99.0,0.046,-17.889,2.192,16.389,0.261,0.033,0.028,5446.7,0.038,0.135,0.021,15.087,17.773,1,0.16,0.68,2.06,0,1,3,0.3,ALFALFA,2.95,0.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
